longitude,latitude,species_code,detections,recordings,location
-134.678184,60.214673,BRSP,1,1,EG-CARIB-A1
-134.691547,60.218051,BRSP,10,5,EG-CARIB-S2
-136.764671,59.94813,BRSP,1,1,EG-PARTO-S1
-136.75774,59.9496,BRSP,2,2,EG-PARTO-S3
-134.784561,60.480385,BRSP,1,1,EG-LORNE-A2
-136.746941,59.945553,BRSP,5,4,EG-PARTO-A4
-139.432086,61.458604,BRSP,2,1,EG-QUILL-A7
-137.08893,60.41768,BRSP,1,1,EG-ROCK-A3
-137.082859,60.419696,BRSP,1,1,EG-ROCK-S3
-137.09141,60.44586,BRSP,1,1,YTHEMP-RUR-265140-S3
-135.14116,60.2117,BRSP,1,1,YTHEMP-YSH-248916-T1
-135.14953,60.20787,BRSP,11,8,YTHEMP-YSH-248916-T2
-135.143462,60.202309,BRSP,1,1,YTHEMP-YSH-248916-T3
-135.160105,60.207359,BRSP,2,2,YTHEMP-YSH-248916-T4
-135.02671,60.22342,BRSP,1,1,YTHEMP-YSH-248917-S1
-134.700055,60.243445,BRSP,1,1,YTHEMP-YSL-248350-S2
-134.70241,60.24101,BRSP,3,3,YTHEMP-YSL-248350-S3
-134.74318,60.45095,BRSP,12,10,YTHEMP-YSL-254641-S2
-134.73916,60.45613,BRSP,4,4,YTHEMP-YSL-254641-T3
-138.598286,61.025188,BRSP,3,3,YTHEMP-SEM-289781-S2
-135.14796,60.20015,BRSP,1,1,YTHEMP-YSH-248916-T5
-134.74057,60.45359,BRSP,1,1,YTHEMP-YSL-254641-S3
-138.59555,61.02762,BRSP,3,2,YTHEMP-SEM-289781-S4
-135.1426,60.199231,BRSP,9,8,YTHEMP-YSH-248916-S3
-134.619193,60.047489,BRSP,3,3,YTHEMP-BMP-242114-D21
-134.63919,60.04538,BRSP,4,4,YTHEMP-BMP-242114-T3
-134.74057,60.45359,BRSP,9,8,YTHEMP-YSL-254641-T4
-136.93298,60.87143,BRSP,1,1,YTHEMP-YSL-276468-S1
-135.982237,60.873449,BRSP,2,2,YTHEMP-YSL-272275-S5
-135.029215,59.726599,DUFL,1,1,EG-FRASE-S1
-135.23068,60.745034,DUFL,10,4,EG-SUMAN-S1
-135.23759,60.74926,DUFL,4,4,EG-SUMAN-S3
-134.684447,60.22055,DUFL,2,2,EG-CARIB-A3
-134.702238,60.21652,DUFL,2,2,EG-CARIB-S1
-134.694722,60.214195,DUFL,5,4,EG-CARIB-S3
-134.784561,60.480385,DUFL,1,1,EG-LORNE-A2
-134.79037,60.478831,DUFL,5,5,EG-LORNE-S6
-135.15395,60.6335,DUFL,1,1,EG-MCINT-S2
-139.432086,61.458604,DUFL,3,3,EG-QUILL-A7
-139.44269,61.45896,DUFL,1,1,EG-QUILL-S8
-137.080096,60.429043,DUFL,13,7,EG-ROCK-S1
-137.082859,60.419696,DUFL,2,1,EG-ROCK-S3
-135.26468,60.76104,DUFL,1,1,EG-SUMAN-A2
-134.703465,60.212692,DUFL,3,2,EG-CARIB-B3
-137.072965,60.423234,DUFL,3,1,EG-ROCK-S2
-134.785999,60.473217,DUFL,1,1,EG-LORNE-S4
-137.08173,60.45179,DUFL,9,5,YTHEMP-RUR-265140-S7A
-134.56765,60.05945,DUFL,22,13,YTHEMP-BMP-242679-L3
-137.080536,60.453992,DUFL,13,11,YTHEMP-RUR-265140-H1
-137.08044,60.4509,DUFL,5,4,YTHEMP-RUR-265140-H2
-137.08518,60.44842,DUFL,1,1,YTHEMP-RUR-265140-H3
-137.09059,60.44871,DUFL,17,10,YTHEMP-RUR-265140-S5
-137.08592,60.45008,DUFL,39,18,YTHEMP-RUR-265140-S6
-137.07727,60.45186,DUFL,4,4,YTHEMP-RUR-265140-S8
-136.932976,60.871431,DUFL,1,1,YTHEMP-RUR-276468-S1
-138.59036,61.01519,DUFL,1,1,YTHEMP-SEM-288569-H2
-138.586714,61.023024,DUFL,18,14,YTHEMP-SEM-288569-S1
-135.12992,60.20769,DUFL,15,12,YTHEMP-YSH-248916-S2
-135.02671,60.22342,DUFL,5,4,YTHEMP-YSH-248917-S1
-135.036602,60.217984,DUFL,7,6,YTHEMP-YSH-248917-S2
-135.02658,60.21699,DUFL,10,8,YTHEMP-YSH-248917-S3
-135.041568,60.212487,DUFL,30,16,YTHEMP-YSH-249486-S4
-134.703956,60.221792,DUFL,1,1,YTHEMP-YSL-247779-H2
-134.715703,60.235078,DUFL,7,4,YTHEMP-YSL-247779-H3
-134.710111,60.232478,DUFL,7,3,YTHEMP-YSL-247779-H4
-134.721107,60.234984,DUFL,3,3,YTHEMP-YSL-247779-L1
-134.70311,60.23836,DUFL,3,3,YTHEMP-YSL-248350-S4
-134.74905,60.44973,DUFL,21,14,YTHEMP-YSL-254641-S1
-134.74318,60.45095,DUFL,11,8,YTHEMP-YSL-254641-S2
-134.74604,60.45328,DUFL,4,4,YTHEMP-YSL-254641-S4
-135.093843,60.557105,DUFL,1,1,YTHEMP-YSL-258689-S3
-135.069651,60.595357,DUFL,10,10,YTHEMP-YSL-259270-H3
-135.026367,60.601609,DUFL,1,1,YTHEMP-YSL-259852-L2
-135.28814,60.63381,DUFL,1,1,YTHEMP-YSL-261611-S5
-135.27618,60.62567,DUFL,2,2,YTHEMP-YSL-261611-S9
-135.287314,60.642081,DUFL,1,1,YTHEMP-YSL-262198-S2
-135.501419,60.758676,DUFL,4,4,YTHEMP-YSL-266343-H3
-135.50805,60.76292,DUFL,3,3,YTHEMP-YSL-266343-S1
-135.518418,60.763676,DUFL,5,4,YTHEMP-YSL-266936-S2
-135.51371,60.76252,DUFL,16,11,YTHEMP-YSL-266936-S3
-135.985927,60.857159,DUFL,7,7,YTHEMP-YSL-271089-S1
-135.981025,60.862688,DUFL,1,1,YTHEMP-YSL-271089-S2
-136.964837,60.862235,DUFL,31,15,YTHEMP-YSL-275865-H1
-136.959722,60.865112,DUFL,19,12,YTHEMP-YSL-275865-H2
-136.96011,60.8678,DUFL,2,1,YTHEMP-YSL-275865-H5
-134.5882,60.06024,DUFL,3,3,YTHEMP-BMP-242679-L4
-138.59494,61.02057,DUFL,2,1,YTHEMP-SEM-288569-H4
-138.598286,61.025188,DUFL,17,11,YTHEMP-SEM-289781-S2
-138.58936,61.02701,DUFL,1,1,YTHEMP-SEM-289781-S3
-135.060212,60.546989,DUFL,4,3,YTHEMP-YSL-258111-S1
-135.974913,60.857455,DUFL,15,11,YTHEMP-YSL-271089-S3
-138.59555,61.02762,DUFL,4,4,YTHEMP-SEM-289781-S4
-135.127496,60.20534,DUFL,6,5,YTHEMP-YSH-248916-D5
-135.127272,60.202645,DUFL,2,2,YTHEMP-YSH-248916-D7
-135.072453,60.56293,DUFL,2,2,YTHEMP-YSL-259270-D5
-135.518679,60.766367,DUFL,12,6,YTHEMP-YSL-266936-D7
-135.500899,60.753293,DUFL,1,1,YTHEMP-YSL-266343-D17
-135.52344,60.76774,DUFL,8,5,YTHEMP-YSL-266936-S2A
-134.598746,60.053042,DUFL,1,1,YTHEMP-BMP-242679-D19
-134.64535,60.00812,DUFL,2,2,YTHEMP-BMP-241550-L1
-138.515476,61.029043,DUFL,2,2,YTHEMP-SEM-289176-D16
-135.079798,60.217113,DUFL,14,6,YTHEMP-YSH-249486-D8
-135.07396,60.211834,DUFL,1,1,YTHEMP-YSH-249486-D11
-135.529928,60.768802,DUFL,4,3,YTHEMP-YSL-266936-D9
-134.731112,60.453331,DUFL,7,6,YTHEMP-YSL-254641-D10
-134.762981,60.441982,DUFL,3,3,YTHEMP-YSL-254064-D19
-134.74057,60.45359,DUFL,1,1,YTHEMP-YSL-254641-T4
-135.982237,60.873449,DUFL,1,1,YTHEMP-YSL-272275-D7
-136.949102,60.868178,DUFL,3,3,YTHEMP-YSL-275865-D15
-137.07975,60.448614,DUFL,7,6,YTHEMP-RUR-265140-D16
-137.07626,60.45112,DUFL,2,2,YTHEMP-RUR-265140-H3A
-137.08186,60.45128,DUFL,7,5,YTHEMP-RUR-265140-H4A
-135.971216,60.873745,DUFL,1,1,YTHEMP-YSL-272275-D5
-137.085535,60.447143,DUFL,2,2,YTHEMP-RUR-265140-S4A
-135.501159,60.755984,DUFL,8,4,YTHEMP-YSL-266343-D18
-135.501419,60.758676,DUFL,4,4,YTHEMP-YSL-266343-S1A
-137.07626,60.45112,DUFL,2,2,YTHEMP-RUR-265140-H5
-137.07975,60.448614,DUFL,6,5,YTHEMP-RUR-265140-H7
-135.971216,60.873745,DUFL,1,1,YTHEMP-YSL-272275-S4
-135.982237,60.873449,DUFL,1,1,YTHEMP-YSL-272275-S5
-135.07396,60.211834,DUFL,4,4,YTHEMP-YSH-249486-H7
-135.027872,60.22617,DUFL,3,3,YTHEMP-YSH-248917-S6
-135.053917,60.603763,DUFL,1,1,YTHEMP-YSL-259852-H5
-135.09147,60.57634,DUFL,1,1,YTHEMP-YSL-259270-S4
-135.072453,60.56293,DUFL,1,1,YTHEMP-YSL-259270-S5
-134.762981,60.441982,DUFL,3,3,YTHEMP-YSL-254064-H5
-135.427393,60.844284,DUFL,2,2,YTHEMP-YSL-268123-L2
-135.421598,60.837838,DUFL,1,1,YTHEMP-YSL-268123-L4
-135.415773,60.837651,DUFL,1,1,YTHEMP-YSL-268123-L5
-135.538459,60.793096,DUFL,2,2,YTHEMP-YSL-268122-S2
-135.529783,60.790553,DUFL,1,1,YTHEMP-YSL-267530-S4
-133.10298,60.60865,GCSP,12,4,EG-CANOL-A4
-133.116785,60.605659,GCSP,8,3,EG-CANOL-A6
-133.094517,60.603712,GCSP,16,4,EG-CANOL-S8
-134.678184,60.214673,GCSP,5,5,EG-CARIB-A1
-134.691547,60.218051,GCSP,6,5,EG-CARIB-S2
-139.677804,61.683141,GCSP,1,1,EG-DANE-A2
-133.032284,60.583723,GCSP,4,3,EG-DEADM-A3
-133.044287,60.574684,GCSP,5,4,EG-DEADM-S7
-135.029152,59.729389,GCSP,6,5,EG-FRASE-A1
-135.034914,59.72271,GCSP,2,2,EG-FRASE-B3
-135.029215,59.726599,GCSP,5,5,EG-FRASE-S1
-136.424758,59.540517,GCSP,10,5,EG-GLAVE-A1
-136.415094,59.543631,GCSP,1,1,EG-GLAVE-A3
-136.417173,59.536331,GCSP,4,3,EG-GLAVE-A5
-136.434896,59.538677,GCSP,10,5,EG-GLAVE-S2
-136.427362,59.534166,GCSP,6,4,EG-GLAVE-S6
-136.541836,59.700486,GCSP,3,2,EG-KUSAW-A2
-136.75017,59.95335,GCSP,8,4,EG-PARTO-A2
-136.764671,59.94813,GCSP,3,3,EG-PARTO-S1
-136.75774,59.9496,GCSP,11,4,EG-PARTO-S3
-136.757483,59.94311,GCSP,13,6,EG-PARTO-S5
-133.09143,60.60872,GCSP,10,5,EG-CANOL-A2
-134.677557,60.217423,GCSP,2,1,EG-CARIB-A2
-134.684447,60.22055,GCSP,7,5,EG-CARIB-A3
-133.042537,60.58169,GCSP,9,5,EG-DEADM-A1
-133.022725,60.577882,GCSP,13,4,EG-DEADM-A6
-133.051491,60.580191,GCSP,1,1,EG-DEADM-S5
-136.531421,59.698535,GCSP,8,4,EG-KUSAW-A4
-136.541936,59.695466,GCSP,1,1,EG-KUSAW-A5
-136.579556,59.691956,GCSP,6,4,EG-KUSAW-S2
-136.569624,59.693058,GCSP,7,5,EG-KUSAW-S4
-136.561755,59.69581,GCSP,12,6,EG-KUSAW-S6
-136.553683,59.697783,GCSP,18,6,EG-KUSAW-S8
-134.784561,60.480385,GCSP,1,1,EG-LORNE-A2
-134.776415,60.478015,GCSP,4,3,EG-LORNE-A6
-136.746941,59.945553,GCSP,13,5,EG-PARTO-A4
-139.432086,61.458604,GCSP,3,2,EG-QUILL-A7
-139.422206,61.456052,GCSP,2,2,EG-QUILL-A9
-137.08893,60.41768,GCSP,7,4,EG-ROCK-A3
-137.080096,60.429043,GCSP,2,2,EG-ROCK-S1
-137.082859,60.419696,GCSP,3,3,EG-ROCK-S3
-137.088856,60.426646,GCSP,4,4,EG-ROCK-A1
-134.785999,60.473217,GCSP,1,1,EG-LORNE-S4
-134.77036,60.477124,GCSP,1,1,EG-LORNE-A7
-137.08173,60.45179,GCSP,2,2,YTHEMP-RUR-265140-S7A
-134.63919,60.04538,GCSP,4,4,YTHEMP-BMP-242114-S1
-137.080536,60.453992,GCSP,1,1,YTHEMP-RUR-265140-H1
-137.08518,60.44842,GCSP,2,2,YTHEMP-RUR-265140-H3
-137.10015,60.44754,GCSP,1,1,YTHEMP-RUR-265140-S1
-137.096038,60.44803,GCSP,11,9,YTHEMP-RUR-265140-S2
-137.09141,60.44586,GCSP,7,7,YTHEMP-RUR-265140-S3
-137.09647,60.44474,GCSP,8,4,YTHEMP-RUR-265140-S4
-137.09059,60.44871,GCSP,18,12,YTHEMP-RUR-265140-S5
-137.08592,60.45008,GCSP,10,7,YTHEMP-RUR-265140-S6
-137.07727,60.45186,GCSP,1,1,YTHEMP-RUR-265140-S8
-136.932976,60.871431,GCSP,3,3,YTHEMP-RUR-276468-S1
-136.91873,60.87285,GCSP,3,3,YTHEMP-RUR-276468-T2
-138.586714,61.023024,GCSP,2,2,YTHEMP-SEM-288569-S1
-138.58052,61.02552,GCSP,2,2,YTHEMP-SEM-288569-T1
-134.61851,60.06183,GCSP,1,1,YTHEMP-YSH-243244-H3
-134.65589,60.0456,GCSP,7,5,YTHEMP-YSH-242678-T2
-134.61334,60.05665,GCSP,4,3,YTHEMP-YSH-243244-S2
-134.61755,60.05494,GCSP,28,15,YTHEMP-YSH-243244-S4
-134.62287,60.05582,GCSP,32,16,YTHEMP-YSH-243244-S5
-135.12992,60.20769,GCSP,13,10,YTHEMP-YSH-248916-S2
-135.14116,60.2117,GCSP,2,2,YTHEMP-YSH-248916-T1
-135.14953,60.20787,GCSP,10,8,YTHEMP-YSH-248916-T2
-135.143462,60.202309,GCSP,6,5,YTHEMP-YSH-248916-T3
-135.160105,60.207359,GCSP,1,1,YTHEMP-YSH-248916-T4
-135.02671,60.22342,GCSP,5,4,YTHEMP-YSH-248917-S1
-135.036602,60.217984,GCSP,6,6,YTHEMP-YSH-248917-S2
-135.02658,60.21699,GCSP,2,2,YTHEMP-YSH-248917-S3
-135.04609,60.22708,GCSP,1,1,YTHEMP-YSH-249486-T3
-134.700055,60.243445,GCSP,2,2,YTHEMP-YSL-248350-S2
-134.70241,60.24101,GCSP,1,1,YTHEMP-YSL-248350-S3
-134.74905,60.44973,GCSP,8,8,YTHEMP-YSL-254641-S1
-134.74318,60.45095,GCSP,15,12,YTHEMP-YSL-254641-S2
-134.74604,60.45328,GCSP,13,9,YTHEMP-YSL-254641-S4
-134.73916,60.45613,GCSP,11,10,YTHEMP-YSL-254641-T3
-135.049958,60.555286,GCSP,1,1,YTHEMP-YSL-258111-T4
-135.050617,60.563366,GCSP,2,2,YTHEMP-YSL-259270-T1
-135.050397,60.560673,GCSP,1,1,YTHEMP-YSL-259270-T3
-135.518418,60.763676,GCSP,7,4,YTHEMP-YSL-266936-S2
-135.51371,60.76252,GCSP,2,2,YTHEMP-YSL-266936-S3
-135.552167,60.770977,GCSP,5,4,YTHEMP-YSL-266936-T3
-135.51877,60.76176,GCSP,1,1,YTHEMP-YSL-266936-T5
-135.981025,60.862688,GCSP,14,11,YTHEMP-YSL-271089-S2
-135.987443,60.870611,GCSP,15,11,YTHEMP-YSL-272275-T1
-135.987747,60.873301,GCSP,2,2,YTHEMP-YSL-272275-T2
-135.993561,60.875843,GCSP,1,1,YTHEMP-YSL-272275-T5
-136.95404,60.87256,GCSP,2,2,YTHEMP-YSL-277072-H6
-136.94666,60.87388,GCSP,8,5,YTHEMP-YSL-277072-H7
-136.94393,60.87858,GCSP,5,3,YTHEMP-YSL-277072-H8
-138.58936,61.02701,GCSP,1,1,YTHEMP-SEM-289781-S3
-134.64493,60.045,GCSP,12,4,YTHEMP-YSH-242678-S6
-134.65038,60.04548,GCSP,15,8,YTHEMP-YSH-242678-T1
-134.630526,60.050049,GCSP,41,16,YTHEMP-YSH-243244-S3
-135.132893,60.205228,GCSP,13,9,YTHEMP-YSH-248916-S1
-135.14796,60.20015,GCSP,3,3,YTHEMP-YSH-248916-T5
-135.14667,60.21092,GCSP,1,1,YTHEMP-YSH-248916-T6
-135.053236,60.223048,GCSP,3,3,YTHEMP-YSH-249486-T4
-138.59555,61.02762,GCSP,3,3,YTHEMP-SEM-289781-S4
-136.966002,60.870298,GCSP,1,1,YTHEMP-YSL-277072-H3
-135.1426,60.199231,GCSP,8,7,YTHEMP-YSH-248916-S3
-135.127496,60.20534,GCSP,6,5,YTHEMP-YSH-248916-D5
-135.127272,60.202645,GCSP,5,4,YTHEMP-YSH-248916-D7
-135.117593,60.21634,GCSP,1,1,YTHEMP-YSH-248916-H1
-135.05421,60.55351,GCSP,1,1,YTHEMP-YSL-258111-T5
-135.518679,60.766367,GCSP,2,2,YTHEMP-YSL-266936-D7
-135.52344,60.76774,GCSP,5,5,YTHEMP-YSL-266936-S2A
-134.635717,60.047263,GCSP,16,6,YTHEMP-BMP-242114-D11
-134.614686,60.050077,GCSP,4,3,YTHEMP-BMP-242114-D12
-134.619193,60.047489,GCSP,9,5,YTHEMP-BMP-242114-D21
-134.61334,60.05665,GCSP,7,5,YTHEMP-YSH-243244-H4
-134.63919,60.04538,GCSP,27,11,YTHEMP-BMP-242114-T3
-138.59494,61.02057,GCSP,1,1,YTHEMP-SEM-288569-S5
-135.047618,60.220462,GCSP,1,1,YTHEMP-YSH-249486-T2
-135.529928,60.768802,GCSP,7,5,YTHEMP-YSL-266936-D9
-134.731112,60.453331,GCSP,6,5,YTHEMP-YSL-254641-D10
-134.73858,60.45908,GCSP,7,6,YTHEMP-YSL-254641-T2
-134.74057,60.45359,GCSP,7,6,YTHEMP-YSL-254641-T4
-135.982237,60.873449,GCSP,15,6,YTHEMP-YSL-272275-D7
-136.93298,60.87143,GCSP,10,6,YTHEMP-YSL-276468-S1
-136.95404,60.87256,GCSP,4,3,YTHEMP-YSL-277072-S2
-136.94666,60.87388,GCSP,16,10,YTHEMP-YSL-277072-S3
-136.94393,60.87858,GCSP,6,5,YTHEMP-YSL-277072-S4
-136.91873,60.87285,GCSP,6,3,YTHEMP-YSL-276468-T2
-136.92328,60.87452,GCSP,1,1,YTHEMP-YSL-276468-T3
-136.92928,60.87483,GCSP,5,4,YTHEMP-YSL-276468-T4
